respid	qn	rating	response
2	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It deals with dull skin and gives rosy and healthy skin
4	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It gives skin glow
7	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	looks like something new
9	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Repairs skin damage
11	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Niacinamide presence
13	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	nothing
14	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Our skin wants extra care   this serum suits for skin repairing
16	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	because 98% dskin damage recover
17	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Because main reason is content
18	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It is good
20	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It repairs tired and dull skin, It make healthy glow of your skin.
22	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Niacinamide is very effective to re energize skin cells
28	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Repairs skin damages
29	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Different
30	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I think this is a great product idea which repairs skin dullness and replaces it with a healthy glow
31	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	Doesn't look believable
32	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Want to check how it work
33	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	very morden and very easy
34	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Contents.Time it has mentioned to start feeling the difference in your skin after using the product
40	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Rose complex is attractive line and i love to apply serum which has rose ingredient in it
42	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	To repairs my dull ness
43	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It hs 2 more benefits
45	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Very useful product. I like it.
52	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Because Olay Luminous which is scientifically advanced Niacinamide  + Rose Complex repairs 98% of skin damage in 24 hours to give me a healthy, rosy glow.
55	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Now formulated with Olay's Vitamin B3 Complex, and the pampering scent of Rose Water & Sweet Nectar, it hydrates skin better than regular soap to leave you feeling refreshed. ... It wraps your skin in a craveable fragrance and leaving you feeling refreshed.
57	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	IT WILL HEAL INTERNALLY AND RE ENERGIZE THE CELLS
60	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It is the thing which I need for my dull skin. So I will definitely buy it.
61	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Its has everything which we want to give our skin.
63	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Good for dry skin
64	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Best for skin
66	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	Not confident
68	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	turn my will turn my dull skin into a glowing one
69	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I like it very much
70	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Good for dry skin
74	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	The very nice products of the play and very good the facial problem in issues leving
76	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Niacinamide and rose complex repairs 98% skin damage amnd give healthy rosy glow     and reenertgize skin cells
79	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Good product
81	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	Because it's little sticky kind of.
82	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Repairs tired & dull skin for rosy and healthy glow
85	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	i do have dry skin and do not sleep well so if this does what it claims it can do then i would love to try it
86	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I am impressed with the claim and would like to try it. Reducing 98% of skin damage in 24 hours is a big advantage
88	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Because it mentioned to remove my skin dullness in 24 Hours.
90	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It seems good for skin that needs moisturising and it soothes aging skin
91	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	2	I don't need such products
93	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Good product gives to us
94	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I like the rose flavour
96	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Rose is one ingredient that brings out the inner glow and coupled with niacinamide its an unbeatable combination.
98	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	due to its softness and smoothness
99	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	it does not suit my skin
101	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	the product quality
